,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
6,Production & other related workers,0,0,1,1,1,3,2,,308,,,,,,,,,,,
8,"Workers, occupation are not elsewhere classified",0,0,0,1,0,1,0,0,315,,,,,,,,,,,
9,Non Workers,0,6,75,24,11,10,13,0,,,,,,,,,,,,
10,Not Stated,0,1,83,17,8,12,10,0,60,,,,,,,,,,,
Total,0,19,224,114,52,59,34,208,,646,,,,,,,,,,,
,,103,,,,,,,,706,,,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),,,,,,,,,,,,,
,,,,,Age of the Deceased,,,,,,,,,,,,,,,,
Sl.,Selected,,,,,,,,,,,,,,,,,,,,
,Cause of,Sex,,,,,,,,,,,,,,,,,,,
No,,,Below,,,,,,Stated,Total,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,10,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,Only smoking,,,,,,,,0,11,,,,,,,,,,,
1,Cholera,,,,,,,,0,,,,,,,,,,,,
,Male,,0,0,0,0,0,0,0,53,,,,,,,,,,,
,,Female,0,0,0,0,0,0,,338,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,391,,,,,,,,,,,
2,Typhoid & Paratyphoid,,,,,,,,0,,,,,,,,,,,,
,Male,,0,0,0,0,1,2,0,7,,,,,,,,,,,
,,Female,0,0,0,0,0,0,,312,,,,,,,,,,,
Total,,,0,0,0,0,1,2,0,319,,,,,,,,,,,
3,Food Poisoning,,,,,,,,0,,,,,,,,,,,,
,Male,,0,0,0,0,3,2,0,60,,,,,,,,,,,
,,Female,0,0,1,0,0,0,,650,,,,,,,,,,,
Total,,,0,0,1,0,3,2,,710,,,,,,,,,,,
4,"Dysentery, Diarrhoea & Gastro-enteritis",,,,,,,,,,,,,,,,,,,,
,Male,,6,0,0,3,0,2,,,,,,,,,,,,,
,,Female,2,0,0,0,0,0,Stated,,,,,,,,,,,,
Total,,,8,0,0,3,0,2,10,Total,,,,,,,,,,,
5,Tuberculosis,,,,,,,,,,,,,,,,,,,,
,Male,,0,3,2,12,20,40,0,11,,,,,,,,,,,
,,Female,0,0,0,2,0,0,2,,,,,,,,,,,,
Total,,,0,3,2,14,20,40,3,0,0,,,,,,,,,,
6,Leprosy,,,,,,,,4,0,8,,,,,,,,,,
,Male,,0,1,0,0,2,0,8,0,8,,,,,,,,,,
,,Female,0,0,0,0,0,0,17,0,7,,,,,,,,,,
Total,,,0,1,0,0,2,0,3,0,31,,,,,,,,,,
8,Whooping Cough,,,,,,,,0,0,76,,,,,,,,,,
,Male,,0,0,0,0,0,0,35,0,7,,,,,,,,,,
,,Female,0,0,0,0,0,0,38,0,0,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,0,120,,,,,,,,,,
9,Tetanus,,,,,,,,,0,134,,,,,,,,,,
,Male,,0,0,0,0,0,0,0,391,,,,,,,,,,,
,,Female,0,0,0,0,0,0,1,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,4,0,0,,,,,,,,,,
12,Rabies,,,,,,,,0,0,3,,,,,,,,,,
,Male,,0,0,0,0,0,0,12,0,4,,,,,,,,,,
,,Female,0,0,0,0,0,0,34,0,2,,,,,,,,,,
Total,,,0,0,0,0,0,0,4,0,57,,,,,,,,,,
13,Malaria,,,,,,,,2,0,111,,,,,,,,,,
,Male,,1,0,2,2,0,0,19,0,8,,,,,,,,,,
,,Female,1,0,0,0,2,2,22,0,4,,,,,,,,,,
Total,,,2,0,2,2,2,2,0,0,73,,,,,,,,,,
14,Cancer,,,,,,,,,0,57,,,,,,,,,,
,Male,,0,1,2,5,3,20,0,319,,,,,,,,,,,
,,Female,0,0,0,0,1,2,3,,,,,,,,,,,,
Total,,,0,1,2,5,4,22,7,0,0,,,,,,,,,,
15,Diabetes Melitus,,,,,,,,4,0,11,,,,,,,,,,
,Male,,0,1,0,0,0,3,20,0,12,,,,,,,,,,
,,Female,0,0,0,0,0,0,51,0,9,,,,,,,,,,
Total,,,0,1,0,0,0,3,7,0,88,,,,,,,,,,
,,,,,104,,,,2,0,187,,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),54,0,15,,,,,,,,,,
,,,,,Age of the Deceased,,,,60,0,4,,,,,,,,,,
Sl.,Selected,,,,,,,,0,0,193,,,,,,,,,,
,Cause of,Sex,,,,,,,,0,191,,,,,,,,,,
No,,,Below,,,,,,,710,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
16,Anaemia,,,,,,,,,,,,,,,,,,,,
,Male,,0,0,0,0,0,0,,,,,,,,,,,,,
,,Female,0,0,0,0,0,0,65-69,,,Total,,,,,,,,,
Total,,,0,0,0,0,0,0,10,70 &,Age Not,,,,,,,,,,
17,Meningitis,,,,,,,,,Above,Stated,,,,,,,,,,
,Male,,0,0,0,0,0,0,,11,12,13,,,,,,,,,
,,Female,0,0,0,0,0,0,1,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
18,Heart Diseases & Heart Attacks,,,,,,,,1,0,3,4,,,,,,,,,
,Male,,0,1,7,23,51,65,,0,0,0,,,,,,,,,
,,Female,0,1,1,0,2,5,0,0,3,4,,,,,,,,,
Total,,,0,2,8,23,53,70,0,,,,,,,,,,,,
19,Pneumonia,,,,,,,,0,14,1,18,,,,,,,,,
,Male,,0,0,0,1,0,1,,5,0,5,,,,,,,,,
,,Female,0,0,0,2,0,0,1,19,1,23,,,,,,,,,
Total,,,0,0,0,3,0,1,1,,,,,,,,,,,,
20,Influenza,,,,,,,,2,21,4,31,,,,,,,,,
,Male,,0,0,0,0,0,2,,2,2,6,,,,,,,,,
,,Female,0,0,0,0,0,0,0,23,6,37,,,,,,,,,
Total,,,0,0,0,0,0,2,0,,,,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,0,32,7,50,,,,,,,,,
,Male,,0,0,3,2,4,18,,2,1,5,,,,,,,,,
,,Female,0,0,0,3,1,4,34,34,8,55,,,,,,,,,
Total,,,0,0,3,5,5,22,5,,,,,,,,,,,,
22,Jaundice,,,,,,,,39,215,52,378,,,,,,,,,
,Male,,0,1,1,0,5,7,,8,10,25,,,,,,,,,
,,Female,0,0,2,0,0,3,0,223,62,403,,,,,,,,,
Total,,,0,1,3,0,5,10,0,,,,,,,,,,,,
23,Chronic Lever Disease & Cirrhisi,,,,,,,,0,6,0,9,,,,,,,,,
,Male,,1,0,1,6,13,4,,0,0,0,,,,,,,,,
,,Female,0,1,3,0,1,0,0,6,0,9,,,,,,,,,
Total,,,1,1,4,6,14,4,0,,,,,,,,,,,,
24,Ulcer of Stomach & Duodenum,,,,,,,,0,0,5,5,,,,,,,,,
,Male,,0,1,0,0,2,5,,0,0,0,,,,,,,,,
,,Female,0,0,0,0,0,0,0,0,5,5,,,,,,,,,
Total,,,0,1,0,0,2,5,0,,,,,,,,,,,,
25,Appendicities,,,,,,,,0,4,1,5,,,,,,,,,
,Male,,0,0,0,1,2,6,,1,1,2,,,,,,,,,
,,Female,0,0,0,0,1,0,2,5,2,7,,,,,,,,,
Total,,,0,0,0,1,3,6,0,,,,,,,,,,,,
26,Syphilis & Other diseases of Genite Urinary System,,,,,,,,2,4,0,6,,,,,,,,,
,Male,,0,0,1,0,0,1,,0,0,0,,,,,,,,,
,,Female,0,0,0,0,0,0,2,4,0,6,,,,,,,,,
Total,,,0,0,1,0,0,1,0,,,,,,,,,,,,
30,Ceribrovascular (Paralysis),,,,,,,,2,8,1,16,,,,,,,,,
,Male,,0,0,0,0,3,10,,4,0,9,,,,,,,,,
,,Female,0,0,1,0,0,0,21,12,1,25,,,,,,,,,
Total,,,0,0,1,0,3,10,1,,,,,,,,,,,,
31,Senility,,,,,,,,22,331,78,461,,,,,,,,,
,Male,,0,0,0,0,0,0,,33,6,43,,,,,,,,,
,,,,,105,,,,10,364,84,504,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),0,,,,,,,,,,,,
,,,,,Age of the Deceased,,,,10,56,10,80,,,,,,,,,
Sl.,Selected,,,,,,,,,5,8,13,,,,,,,,,
,Cause of,Sex,,,,,,,,61,18,93,,,,,,,,,
No,,,Below,,,,,,,,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,,Female,0,0,0,0,0,0,,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,65-69,,,Total,,,,,,,,,
32,Others not elsewhere classified,,,,,,,,10,70 &,Age Not,,,,,,,,,,
,Male,,3,10,16,43,84,103,,Above,Stated,,,,,,,,,,
,,Female,2,3,4,5,7,6,0,11,12,13,,,,,,,,,
Total,,,5,13,20,48,91,109,0,,,,,,,,,,,,
33,Bites or Stings of Venomous animal,,,,,,,,0,8,7,15,,,,,,,,,
,Male,,0,0,1,1,6,1,,2,0,2,,,,,,,,,
,,Female,0,0,1,0,0,0,0,10,7,17,,,,,,,,,
Total,,,0,0,2,1,6,1,0,,,,,,,,,,,,
34,Accidental Burn,,,,,,,,0,13,1,14,,,,,,,,,
,Male,,0,0,0,0,0,1,,0,0,0,,,,,,,,,
,,Female,0,0,0,0,0,0,79,13,1,14,,,,,,,,,
Total,,,0,0,0,0,0,1,3,,,,,,,,,,,,
35,Falls & Drowning,,,,,,,,82,1037,0,1263,,,,,,,,,
,Male,,0,0,1,2,0,0,,66,0,78,,,,,,,,,
,,Female,0,0,0,0,0,0,1,1103,0,1341,,,,,,,,,
Total,,,0,0,1,2,0,0,0,,,,,,,,,,,,
36,Accidental Posising,,,,,,,,1,17,8,28,,,,,,,,,
,Male,,0,0,1,0,2,4,,1,1,4,,,,,,,,,
,,Female,0,0,0,0,0,0,0,18,9,32,,,,,,,,,
Total,,,0,0,1,0,2,4,0,,,,,,,,,,,,
37,Transport Accidents,,,,,,,,0,45,7,54,,,,,,,,,
,Male,,0,0,1,5,4,5,,3,0,3,,,,,,,,,
,,Female,0,0,1,0,0,1,21,48,7,57,,,,,,,,,
Total,,,0,0,2,5,4,6,1,,,,,,,,,,,,
38,Other Accidents,,,,,,,,22,1342,243,1633,,,,,,,,,
,Male,,0,0,0,3,6,4,,108,22,139,,,,,,,,,
,,Female,0,0,0,0,0,0,6,1450,265,1772,,,,,,,,,
Total,,,0,0,0,3,6,4,1,,,,,,,,,,,,
39,Sucide,,,,,,,,7,81,19,120,,,,,,,,,
,Male,,0,0,7,4,5,11,,6,1,13,,,,,,,,,
,,Female,0,0,0,0,0,0,3,87,20,133,,,,,,,,,
Total,,,0,0,7,4,5,11,0,,,,,,,,,,,,
40,Homicide,,,,,,,,3,115,14,157,,,,,,,,,
,Male,,0,0,2,0,0,0,,32,5,42,,,,,,,,,
,,Female,0,0,0,0,0,0,6,147,19,199,,,,,,,,,
Total,,,0,0,2,0,0,0,0,,,,,,,,,,,,
99,Not-Stated,,,,,,,,6,56,13,83,,,,,,,,,
,Male,,0,7,11,26,61,65,,1,2,3,,,,,,,,,
,,Female,0,2,5,7,14,7,6,57,15,86,,,,,,,,,
Total,,,0,9,16,33,75,72,0,,,,,,,,,,,,
TOTAL,,,,,,,,,6,26,8,49,,,,,,,,,
,Male,,11,26,59,139,277,382,,1,0,2,,,,,,,,,
,,Female,5,7,19,19,29,30,0,27,8,51,,,,,,,,,
Total,,,16,33,78,158,306,412,0,,,,,,,,,,,,
,Only chewing tobacco,,,,,,,,0,25,6,33,,,,,,,,,
2,Typhoid & Paratyphoid,,,,,,,,,0,0,0,,,,,,,,,
,,,,,106,,,,5,25,6,33,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),1,,,,,,,,,,,,
,,,,,Age of the Deceased,,,,6,283,51,352,,,,,,,,,
Sl.,Selected,,,,,,,,,11,3,16,,,,,,,,,
,Cause of,Sex,,,,,,,0,294,54,368,,,,,,,,,
No,,,Below,,,,,,,,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,1980,0,1980,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,Male,,0,0,0,0,0,1,,,,,,,,,,,,,
,,Female,0,0,0,0,0,1,,,,,,,,,,,,,
Total,,,0,0,0,0,0,2,,,,,,,,,,,,,
3,Food Poisoning,,,,,,,,65-69,,,Total,,,,,,,,,
,Male,,0,0,0,0,0,0,10,70 &,Age Not,,,,,,,,,,
,,Female,0,0,0,0,0,0,0,Above,Stated,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,11,12,13,,,,,,,,,
4,"Dysentery, Diarrhoea & Gastro-enteritis",,,,,,,,,195,0,195,,,,,,,,,
,Male,,0,0,0,1,0,0,98,2175,0,2175,,,,,,,,,
,,Female,0,0,0,0,0,0,5,,,,,,,,,,,,
Total,,,0,0,0,1,0,0,103,1570,225,2152,,,,,,,,,
5,Tuberculosis,,,,,,,,,123,26,181,,,,,,,,,
,Male,,0,0,0,4,5,11,6,1693,251,2333,,,,,,,,,
,,Female,0,0,0,1,2,0,0,,,,,,,,,,,,
Total,,,0,0,0,5,7,11,6,32,5,52,,,,,,,,,
9,Tetanus,,,,,,,,,9,1,11,,,,,,,,,
,Male,,0,0,0,0,0,0,0,41,6,63,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,6,0,7,,,,,,,,,
12,Rabies,,,,,,,,,0,1,1,,,,,,,,,
,Male,,0,0,0,0,0,0,2,6,1,8,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,2,15,11,31,,,,,,,,,
13,Malaria,,,,,,,,,2,0,2,,,,,,,,,
,Male,,0,0,0,0,0,0,2,17,11,33,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,2,10,3,22,,,,,,,,,
14,Cancer,,,,,,,,,0,0,0,,,,,,,,,
,Male,,0,0,0,0,3,3,4,10,3,22,,,,,,,,,
,,Female,0,0,1,2,0,6,3,,,,,,,,,,,,
Total,,,0,0,1,2,3,9,7,42,5,66,,,,,,,,,
15,Diabetes Melitus,,,,,,,,,7,0,12,,,,,,,,,
,Male,,0,0,0,0,0,0,2,49,5,78,,,,,,,,,
,,Female,0,0,0,0,0,1,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,1,2,42,9,66,,,,,,,,,
16,Anaemia,,,,,,,,,1,0,1,,,,,,,,,
,Male,,0,0,0,0,0,0,3,43,9,67,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,3,20,10,60,,,,,,,,,
17,Meningitis,,,,,,,,,2,1,3,,,,,,,,,
,Male,,0,0,0,0,1,0,0,22,11,63,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,1,0,0,6,1,9,,,,,,,,,
18,Heart Diseases & Heart Attacks,,,,,,,,,1,0,1,,,,,,,,,
,Male,,0,0,0,0,11,16,93,7,1,10,,,,,,,,,
,,Female,0,0,0,1,1,1,7,,,,,,,,,,,,
Total,,,0,0,0,1,12,17,100,108,461,832,,,,,,,,,
19,Pneumonia,,,,,,,,,4,94,140,,,,,,,,,
,Male,,0,0,0,0,0,0,408,112,555,972,,,,,,,,,
,,,,,107,,,,28,,,,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),436,7570,1269,10141,,,,,,,,,
,,,,,Age of the Deceased,,,,,635,185,957,,,,,,,,,
Sl.,Selected,,,,,,,,,8205,1454,11098,,,,,,,,,
,Cause of,Sex,,,,,,,,,,,,,,,,,,,
No,,,Below,,,,,,,,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,,Female,0,0,0,0,0,0,,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,,,,,,,,,,,,,
20,Influenza,,,,,,,,65-69,,,Total,,,,,,,,,
,Male,,0,0,0,0,0,0,10,70 &,Age Not,,,,,,,,,,
,,Female,0,0,0,0,0,0,2,Above,Stated,,,,,,,,,,
Total,,,0,0,0,0,0,0,1,11,12,13,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,3,3,3,9,,,,,,,,,
,Male,,0,0,1,1,0,1,,4,1,7,,,,,,,,,
,,Female,0,0,0,0,0,0,0,7,4,16,,,,,,,,,
Total,,,0,0,1,1,0,1,0,,,,,,,,,,,,
22,Jaundice,,,,,,,,0,4,0,4,,,,,,,,,
,Male,,0,0,0,0,1,1,,0,0,0,,,,,,,,,
,,Female,0,0,0,0,1,0,1,4,0,4,,,,,,,,,
Total,,,0,0,0,0,2,1,1,,,,,,,,,,,,
23,Chronic Lever Disease & Cirrhisi,,,,,,,,2,5,2,9,,,,,,,,,
,Male,,0,1,0,0,0,0,,11,1,13,,,,,,,,,
,,Female,0,0,0,0,0,0,4,16,3,22,,,,,,,,,
Total,,,0,1,0,0,0,0,8,,,,,,,,,,,,
24,Ulcer of Stomach & Duodenum,,,,,,,,12,29,8,61,,,,,,,,,
,Male,,0,0,0,1,1,0,,32,7,50,,,,,,,,,
,,Female,0,0,0,0,1,0,0,61,15,111,,,,,,,,,
Total,,,0,0,0,1,2,0,0,,,,,,,,,,,,
25,Appendicities,,,,,,,,0,0,0,0,,,,,,,,,
,Male,,0,0,0,0,0,0,,1,0,1,,,,,,,,,
,,Female,0,0,0,0,0,0,0,1,0,1,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
26,Syphilis & Other diseases of Genite Urinary System,,,,,,,,0,0,1,1,,,,,,,,,
,Male,,0,0,0,0,0,0,,3,2,5,,,,,,,,,
,,Female,0,0,0,0,0,0,0,3,3,6,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
28,Complications Related to Pregnancychild Birth,,,,,,,,0,1,0,1,,,,,,,,,
,Male,,0,0,0,0,0,0,,0,0,0,,,,,,,,,
,,Female,0,0,2,2,0,1,2,1,0,1,,,,,,,,,
Total,,,0,0,2,2,0,1,4,,,,,,,,,,,,
30,Ceribrovascular (Paralysis),,,,,,,,6,69,8,85,,,,,,,,,
,Male,,0,0,0,1,0,0,,99,15,127,,,,,,,,,
,,Female,0,0,0,0,0,0,0,168,23,212,,,,,,,,,
Total,,,0,0,0,1,0,0,0,,,,,,,,,,,,
31,Senility,,,,,,,,0,10,4,14,,,,,,,,,
,Male,,0,0,0,0,0,0,,15,0,16,,,,,,,,,
,,Female,0,0,0,0,0,0,0,25,4,30,,,,,,,,,
Total,,,0,0,0,0,0,0,1,,,,,,,,,,,,
32,Others not elsewhere classified,,,,,,,,1,6,0,6,,,,,,,,,
,Male,,0,1,2,14,18,13,,3,1,5,,,,,,,,,
,,Female,0,2,0,6,13,7,0,9,1,11,,,,,,,,,
Total,,,0,3,2,20,31,20,0,,,,,,,,,,,,
33,Bites or Stings of Venomous animal,,,,,,,,0,1,0,2,,,,,,,,,
,Male,,0,0,0,0,0,0,,1,1,2,,,,,,,,,
,,Female,0,0,0,0,0,0,11,2,1,4,,,,,,,,,
,,,,,108,,,,1,,,,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),12,205,0,243,,,,,,,,,
,,,,,Age of the Deceased,,,,,114,0,118,,,,,,,,,
Sl.,Selected,,,,,,,,0,319,0,361,,,,,,,,,
,Cause of,Sex,,,,,,,,,,,,,,,,,,,
No,,,Below,,,,,,,0,0,0,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,,,,,,,,,,,,,
34,Accidental Burn,,,,,,,,,,,,,,,,,,,,
,Male,,0,0,0,0,0,0,65-69,,,Total,,,,,,,,,
,,Female,0,0,0,1,0,0,10,70 &,Age Not,,,,,,,,,,
Total,,,0,0,0,1,0,0,0,Above,Stated,,,,,,,,,,
35,Falls & Drowning,,,,,,,,0,11,12,13,,,,,,,,,
,Male,,0,0,0,0,0,0,,1,0,1,,,,,,,,,
,,Female,0,0,0,0,0,0,0,1,0,1,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
36,Accidental Posising,,,,,,,,0,18,1,19,,,,,,,,,
,Male,,0,0,0,0,0,0,,13,1,14,,,,,,,,,
,,Female,0,0,0,0,0,1,0,31,2,33,,,,,,,,,
Total,,,0,0,0,0,0,1,1,,,,,,,,,,,,
37,Transport Accidents,,,,,,,,1,257,46,306,,,,,,,,,
,Male,,0,0,0,1,1,2,,250,33,284,,,,,,,,,
,,Female,0,0,0,0,0,0,1,507,79,590,,,,,,,,,
Total,,,0,0,0,1,1,2,2,,,,,,,,,,,,
38,Other Accidents,,,,,,,,3,14,2,19,,,,,,,,,
,Male,,0,0,1,0,0,1,,1,1,5,,,,,,,,,
,,Female,0,0,0,0,0,0,0,15,3,24,,,,,,,,,
Total,,,0,0,1,0,0,1,0,,,,,,,,,,,,
39,Sucide,,,,,,,,0,3,0,4,,,,,,,,,
,Male,,0,0,1,1,4,0,,3,0,3,,,,,,,,,
,,Female,0,0,0,0,0,0,0,6,0,7,,,,,,,,,
Total,,,0,0,1,1,4,0,1,,,,,,,,,,,,
40,Homicide,,,,,,,,1,8,4,14,,,,,,,,,
,Male,,0,0,0,0,0,0,,12,1,15,,,,,,,,,
,,Female,0,0,0,0,0,0,0,20,5,29,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
99,Not-Stated,,,,,,,,0,6,0,6,,,,,,,,,
,Male,,0,0,2,4,8,14,,7,0,7,,,,,,,,,
,,Female,0,0,0,2,5,2,0,13,0,13,,,,,,,,,
Total,,,0,0,2,6,13,16,0,,,,,,,,,,,,
TOT,AL,,,,,,,,0,9,0,9,,,,,,,,,
,Male,,0,2,7,28,53,63,,4,0,4,,,,,,,,,
,,Female,0,2,3,15,23,20,0,13,0,13,,,,,,,,,
Total,,,0,4,10,43,76,83,0,,,,,,,,,,,,
,Only chewing Arecnut,,,,,,,,0,0,0,0,,,,,,,,,
1,Cholera,,,,,,,,,1,0,6,,,,,,,,,
,Male,,0,0,0,0,0,0,3,1,0,6,,,,,,,,,
,,Female,0,0,0,0,0,0,1,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,4,67,8,79,,,,,,,,,
2,Typhoid & Paratyphoid,,,,,,,,,55,10,66,,,,,,,,,
,Male,,0,0,0,1,2,1,0,122,18,145,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,1,2,1,0,383,0,383,,,,,,,,,
4,"Dysentery, Diarrhoea & Gastro-enteritis",,,,,,,,,555,0,555,,,,,,,,,
,,,,,109,,,,22,938,0,938,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),2,,,,,,,,,,,,
,,,,,Age of the Deceased,,,,24,308,45,423,,,,,,,,,
Sl.,Selected,,,,,,,,,300,45,375,,,,,,,,,
,Cause of,Sex,,,,,,,0,608,90,798,,,,,,,,,
No,,,Below,,,,,,0,,,,,,,,,,,,
,Death,15,,15-24,25-34,35-44,45-54,55-64,,2,3,5,,,,,,,,,
1,2,3,4,5,6,7,8,9,,1,0,1,,,,,,,,,
,Male,,0,0,0,1,2,3,,,,,,,,,,,,,
,,Female,0,0,0,0,0,1,,,,,,,,,,,,,
Total,,,0,0,0,1,2,4,,,,,,,,,,,,,
5,Tuberculosis,,,,,,,,,,,,,,,,,,,,
,Male,,0,0,1,6,7,11,65-69,,,Total,,,,,,,,,
,,Female,0,0,0,3,7,5,10,70 &,Age Not,,,,,,,,,,
Total,,,0,0,1,9,14,16,0,Above,Stated,,,,,,,,,,
6,Leprosy,,,,,,,,,11,12,13,,,,,,,,,
,Male,,0,0,0,0,0,0,0,3,3,6,,,,,,,,,
,,Female,0,0,0,0,1,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
8,Whooping Cough,,,,,,,,,0,0,1,,,,,,,,,
,Male,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,
12,Rabies,,,,,,,,,5,0,5,,,,,,,,,
,Male,,0,0,0,0,0,0,0,6,0,6,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
14,Cancer,,,,,,,,,0,0,1,,,,,,,,,
,Male,,2,0,1,6,1,1,0,0,0,1,,,,,,,,,
,,Female,0,0,0,2,2,6,0,,,,,,,,,,,,
Total,,,2,0,1,8,3,7,0,5,2,11,,,,,,,,,
15,Diabetes Melitus,,,,,,,,,0,0,0,,,,,,,,,
,Male,,0,0,0,0,0,1,0,5,2,11,,,,,,,,,
,,Female,0,0,0,1,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,1,0,1,0,7,3,12,,,,,,,,,
16,Anaemia,,,,,,,,,5,3,8,,,,,,,,,
,Male,,0,0,0,0,0,0,1,12,6,20,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,1,9,4,20,,,,,,,,,
17,Meningitis,,,,,,,,,0,0,0,,,,,,,,,
,Male,,0,0,1,0,1,0,0,9,4,20,,,,,,,,,
,,Female,0,2,0,0,0,1,0,,,,,,,,,,,,
Total,,,0,2,1,0,1,1,0,0,0,0,,,,,,,,,
18,Heart Diseases & Heart Attacks,,,,,,,,,1,0,1,,,,,,,,,
,Male,,0,0,2,14,5,23,6,1,0,1,,,,,,,,,
,,Female,0,0,0,1,1,7,6,,,,,,,,,,,,
Total,,,0,0,2,15,6,30,12,7,75,116,,,,,,,,,
19,Pneumonia,,,,,,,,,7,68,90,,,,,,,,,
,Male,,0,0,0,0,0,0,53,14,143,206,,,,,,,,,
,,Female,0,0,0,0,0,1,29,,,,,,,,,,,,
Total,,,0,0,0,0,0,1,82,1437,219,1862,,,,,,,,,
20,Influenza,,,,,,,,,1504,190,1786,,,,,,,,,
,Male,,0,0,0,0,0,0,,2941,409,3648,,,,,,,,,
,,Female,0,0,0,0,0,0,0,,,,,,,,,,,,
Total,,,0,0,0,0,0,0,0,,,,,,,,,,,,
21,Bronchitis & Asthama,,,,,,,,0,0,0,0,,,,,,,,,
,Male,,0,0,0,0,1,9,,1,0,1,,,,,,,,,
,,Female,0,0,0,1,0,5,0,1,0,1,,,,,,,,,
,,,,,110,,,,0,,,,,,,,,,,,
,"TABLE D-19 2001 : DEATHS BY SELECTED CAUSE OF DEATH, AGE, SEX",,,,,,,AND HABITS( RURAL),0,5,0,9,,,,,,,,,
,,,,,Age of the Deceased,,,,,3,0,3,,,,,,,,,
Sl.,Selected,,,,,,,,,8,0,12,,,,,,,,,
,Cause of,Sex,,,,,,,,,,,,,,,,,,,
No,,,Below,,,,,,,,,,,,,,,,,,
